Mapping parameters for Trachinotus blochii (Snubnose pompano),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 167),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Trachinotus,blochii,-33.75,151.25,3315:131:3,38,21.15,35.61,702,0,12
Trachinotus,blochii,-33.25,151.75,3315:131:2,80,21.15,35.61,658,0,21
Trachinotus,blochii,-33.25,124.25,3312:134:1,39,17.99,35.88,506,0,20
Trachinotus,blochii,-31.75,159.25,3315:219:3,1595,21.35,35.78,339,0,23
Trachinotus,blochii,-29.75,31.25,3203:391:3,167,23.94,35.34,874,0,20
Trachinotus,blochii,-29.25,167.75,3216:497:2,1244,21.2,35.81,334,0,24
Trachinotus,blochii,-29.25,31.75,3203:391:2,74,23.94,35.34,1236,0,22
Trachinotus,blochii,-28.25,32.75,3203:382:2,872,24.35,35.29,612,0,24
Trachinotus,blochii,-28.25,32.25,3203:382:1,45,24.35,35.29,657,0,1
Trachinotus,blochii,-27.25,153.25,3215:373:1,11,23.83,35.36,715,0,17
Trachinotus,blochii,-26.75,77.25,3207:467:3,4188,22.25,35.72,154,0,1274
Trachinotus,blochii,-26.75,32.75,3203:362:4,73,24.73,35.16,651,0,5
Trachinotus,blochii,-26.25,153.25,3215:363:1,46,24.05,35.36,230,0,20
Trachinotus,blochii,-24.25,151.75,3215:141:2,12,24.57,35.45,451,0,5
Trachinotus,blochii,-23.25,151.75,3215:131:2,9,24.65,35.45,147,0,97
Trachinotus,blochii,-23.25,43.75,3204:133:2,407,26.04,35.36,727,0,10
Trachinotus,blochii,-22.75,150.75,3215:120:4,18,24.67,35.38,712,0,12
Trachinotus,blochii,-22.25,166.25,3216:226:1,791,24.68,35.63,449,0,22
Trachinotus,blochii,-22.25,114.25,3211:124:1,27,25.55,35.09,1089,0,18
Trachinotus,blochii,-21.25,165.75,3216:215:2,305,25.11,35.31,485,0,15
Trachinotus,blochii,-21.25,150.75,3215:110:2,12,25,35.27,519,0,104
Trachinotus,blochii,-21.25,149.25,3214:219:1,13,24.86,35.11,267,0,12
Trachinotus,blochii,-21.25,-159.75,5215:219:2,3091,25.53,35.56,170,0,26
Trachinotus,blochii,-20.75,55.75,3205:205:4,1984,25.63,35.11,224,0,23
Trachinotus,blochii,-20.75,55.25,3205:205:3,1880,25.63,35.11,225,0,23
Trachinotus,blochii,-20.25,149.25,3214:209:1,26,25.38,35.11,81,0,92
Trachinotus,blochii,-20.25,118.75,3211:208:2,15,26.78,35.13,670,0,15
Trachinotus,blochii,-20.25,116.75,3211:206:2,31,26.66,35.02,739,0,85
Trachinotus,blochii,-20.25,57.75,3205:207:2,1027,25.46,34.99,243,0,15
Trachinotus,blochii,-20.25,57.25,3205:207:1,2965,25.46,34.99,227,0,23
Trachinotus,blochii,-20.25,55.25,3205:205:1,4082,25.63,35.11,217,0,108
Trachinotus,blochii,-20.25,42.75,3204:102:2,2054,27.15,35.11,514,0,165
Trachinotus,blochii,-19.75,149.25,3114:499:3,15,25.82,35.13,225,0,126
Trachinotus,blochii,-19.75,148.25,3114:498:3,28,25.88,35.02,174,0,24
Trachinotus,blochii,-19.75,63.25,3106:393:3,1112,25.43,34.91,342,0,26
Trachinotus,blochii,-19.75,34.75,3103:394:4,13,26.24,35.06,1525,0,7
Trachinotus,blochii,-19.25,147.25,3114:497:1,27,26.01,35.06,599,0,19
Trachinotus,blochii,-19.25,146.75,3114:496:2,27,26.08,35.06,521,0,9
Trachinotus,blochii,-19.25,35.75,3103:495:2,4,26.37,34.9,1687,0,22
Trachinotus,blochii,-18.75,147.25,3114:487:3,22,26.21,35.06,164,0,85
Trachinotus,blochii,-18.75,49.25,3104:489:3,385,26.37,34.91,622,0,17
Trachinotus,blochii,-18.75,-174.25,5117:384:3,943,26.73,35.43,296,0,26
Trachinotus,blochii,-18.75,178.75,3117:488:4,1531,26.72,35.22,326,0,105
Trachinotus,blochii,-18.25,146.25,3114:486:1,19,26.29,34.99,343,0,20
Trachinotus,blochii,-17.75,167.75,3116:477:4,3597,27.05,35.11,359,0,106
Trachinotus,blochii,-17.25,145.75,3114:475:2,19,26.5,34.99,424,0,2
Trachinotus,blochii,-17.25,177.75,3117:477:2,60,27.21,35.06,614,0,23
Trachinotus,blochii,-16.75,146.25,3114:466:3,144,26.6,35.04,594,0,80
Trachinotus,blochii,-16.75,145.75,3114:465:4,25,26.63,35.04,432,0,16
Trachinotus,blochii,-16.75,59.75,3105:469:4,149,26.29,34.86,399,0,448
Trachinotus,blochii,-16.75,-179.75,5117:469:4,461,27.48,35.22,305,0,24
Trachinotus,blochii,-16.25,167.75,3116:467:2,610,27.44,35.02,337,0,19
Trachinotus,blochii,-15.25,147.75,3114:457:2,1198,26.85,35.07,305,0,288
Trachinotus,blochii,-15.25,146.25,3114:456:1,2151,26.78,35.04,379,0,134
Trachinotus,blochii,-15.25,136.25,3113:456:1,28,27.78,34.65,86,0,22
Trachinotus,blochii,-14.75,145.25,3114:245:3,5,26.86,35.04,587,0,21
Trachinotus,blochii,-14.75,50.75,3105:140:4,2486,26.87,35.06,357,0,81
Trachinotus,blochii,-14.25,40.75,3104:140:2,475,27.49,34.97,650,0,18
Trachinotus,blochii,-14.25,-170.75,5117:140:2,2273,28.39,35.27,187,0,26
Trachinotus,blochii,-14.25,-169.75,5116:249:2,2343,28.4,35.29,178,0,26
Trachinotus,blochii,-13.75,40.75,3104:130:4,938,27.5,35.04,571,0,22
Trachinotus,blochii,-13.75,-171.75,5117:131:4,1244,28.63,35.18,214,0,18
Trachinotus,blochii,-13.25,145.25,3114:235:1,2865,26.96,35,403,0,172
Trachinotus,blochii,-13.25,-176.25,5117:236:1,1850,28.6,35.02,215,0,27
Trachinotus,blochii,-12.75,45.25,3104:225:3,687,27.6,34.91,698,0,25
Trachinotus,blochii,-12.25,136.75,3113:226:2,6,28,34.2,577,0,14
Trachinotus,blochii,-12.25,96.75,3109:226:2,3367,27.51,34.22,258,0,26
Trachinotus,blochii,-11.75,144.25,3114:114:3,1237,27.1,34.93,636,0,145
Trachinotus,blochii,-11.75,96.75,3109:216:4,2873,27.75,34.18,250,0,110
Trachinotus,blochii,-11.75,43.25,3104:113:3,1392,27.45,35.02,333,0,22
Trachinotus,blochii,-10.75,132.25,3113:102:3,42,28.35,34.4,995,0,110
Trachinotus,blochii,-9.75,147.25,3014:497:3,1320,27.43,34.59,679,0,26
Trachinotus,blochii,-9.75,144.25,3014:394:3,131,27.4,34.77,726,0,110
Trachinotus,blochii,-9.75,47.75,3004:497:4,2814,27.04,35.08,385,0,27
Trachinotus,blochii,-9.25,160.25,3016:390:1,290,29.08,34.61,412,0,20
Trachinotus,blochii,-9.25,142.25,3014:392:1,9,27.47,34.86,989,0,19
Trachinotus,blochii,-9.25,-171.75,5017:391:2,2860,29.19,35.13,230,0,27
Trachinotus,blochii,-8.75,151.25,3015:381:3,265,28.5,34.75,319,0,27
Trachinotus,blochii,-8.75,179.25,3017:489:3,3563,29.34,34.96,211,0,27
Trachinotus,blochii,-7.75,147.75,3014:477:4,640,28.85,34.47,752,0,19
Trachinotus,blochii,-7.75,108.75,3010:478:4,60,28.4,33.88,613,0,19
Trachinotus,blochii,-7.75,39.75,3003:479:4,48,27.55,35.15,672,0,25
Trachinotus,blochii,-7.25,72.25,3007:372:1,1066,28.03,34.59,365,0,27
Trachinotus,blochii,-6.25,39.25,3003:469:1,22,27.56,35.09,461,0,22
Trachinotus,blochii,-5.25,156.25,3015:456:1,1678,29.41,34.72,233,0,179
Trachinotus,blochii,-4.75,56.25,3005:246:3,125,28.15,35.11,193,0,134
Trachinotus,blochii,-4.75,55.25,3005:245:3,101,28.09,35.13,430,0,27
Trachinotus,blochii,-4.25,39.75,3003:249:2,360,27.5,35.11,612,0,23
Trachinotus,blochii,-3.75,128.25,3012:238:3,1587,28.58,34.06,587,0,23
Trachinotus,blochii,-2.75,40.25,3004:120:3,43,27.23,35.06,1426,0,15
Trachinotus,blochii,-2.25,147.25,3014:227:1,212,29.34,34.5,405,0,23
Trachinotus,blochii,-2.25,146.75,3014:226:2,152,29.24,34.43,496,0,23
Trachinotus,blochii,-0.75,55.25,3005:205:3,4643,28.33,35.35,372,0,449
Trachinotus,blochii,1.25,103.75,1010:113:2,13,28.96,30.56,2059,0,22
Trachinotus,blochii,1.75,-157.25,7015:217:3,1162,27.36,35.15,411,0,28
Trachinotus,blochii,2.75,131.75,1013:121:4,2585,29.15,34.37,486,0,231
Trachinotus,blochii,3.75,100.75,1010:130:4,26,29.42,31.6,1862,0,24
Trachinotus,blochii,3.75,73.25,1007:133:3,241,28.88,34.88,524,0,111
Trachinotus,blochii,4.25,55.75,1005:245:2,4858,27.98,35.45,414,0,790
Trachinotus,blochii,5.75,115.75,1011:455:4,28,28.77,33.09,726,0,22
Trachinotus,blochii,6.75,158.25,1015:468:3,1517,29.06,34.27,322,0,26
Trachinotus,blochii,7.25,168.75,1016:478:2,2173,28.76,34.32,370,0,27
Trachinotus,blochii,7.25,134.25,1013:374:1,1449,28.94,34.13,420,0,27
Trachinotus,blochii,7.25,99.25,1009:479:1,9,29.19,32.27,852,0,26
Trachinotus,blochii,7.25,79.75,1007:479:2,631,28.04,33.77,746,0,22
Trachinotus,blochii,7.75,134.75,1013:374:4,2743,28.94,34.13,258,0,26
Trachinotus,blochii,9.25,123.25,1012:393:1,258,28.6,33.9,694,0,16
Trachinotus,blochii,10.25,51.25,1105:101:1,72,26.82,35.15,1536,0,26
Trachinotus,blochii,10.25,99.25,1109:209:1,15,28.97,31.94,966,0,17
Trachinotus,blochii,10.25,93.25,1109:103:1,1904,28.71,32.65,465,0,133
Trachinotus,blochii,10.75,92.75,1109:102:4,533,28.7,32.79,664,0,26
Trachinotus,blochii,10.75,108.25,1110:208:3,22,27.79,33.2,501,0,25
Trachinotus,blochii,10.75,103.25,1110:103:3,14,28.96,31.55,670,0,26
Trachinotus,blochii,11.25,72.75,1107:112:2,1021,28.68,35.08,647,0,26
Trachinotus,blochii,11.75,43.25,1104:113:3,275,28.47,36.38,1386,0,22
Trachinotus,blochii,11.75,42.75,1104:112:4,144,28.48,36.38,1938,0,8
Trachinotus,blochii,11.75,102.25,1110:112:3,33,29.13,31.48,522,0,95
Trachinotus,blochii,12.25,54.25,1105:124:1,633,26.73,35.72,906,0,24
Trachinotus,blochii,12.25,43.25,1104:123:1,62,28.45,36.38,1485,0,7
Trachinotus,blochii,12.25,121.25,1112:121:1,163,28.52,33.86,620,0,21
Trachinotus,blochii,12.75,45.25,1104:225:3,433,28.4,36.34,1223,0,26
Trachinotus,blochii,12.75,124.25,1112:124:3,96,28.52,34.4,512,0,20
Trachinotus,blochii,12.75,112.75,1111:122:4,4203,28.18,33.46,288,0,407
Trachinotus,blochii,13.25,80.25,1108:130:1,36,28.58,31.54,1054,0,10
Trachinotus,blochii,13.25,144.75,1114:134:2,1431,28.59,34.54,172,0,25
Trachinotus,blochii,14.75,121.75,1112:141:4,95,28.71,34.29,423,0,18
Trachinotus,blochii,14.75,120.75,1112:140:4,12,28.8,33.45,1115,0,15
Trachinotus,blochii,15.25,145.75,1114:455:2,949,28.49,34.75,165,0,26
Trachinotus,blochii,15.75,39.75,1103:459:4,15,29.1,37.27,1058,0,26
Trachinotus,blochii,15.75,95.75,1109:455:4,23,28.61,28.81,1577,0,25
Trachinotus,blochii,16.25,73.25,1107:363:1,40,28.5,35.47,2059,0,25
Trachinotus,blochii,16.75,42.25,1104:362:3,6,29.22,37.75,1480,0,26
Trachinotus,blochii,16.75,41.75,1104:361:4,46,29.22,37.75,1048,0,25
Trachinotus,blochii,18.25,84.25,1108:384:1,237,28.25,30.62,1586,0,23
Trachinotus,blochii,18.25,106.25,1110:486:1,39,26.49,32.45,1166,0,14
Trachinotus,blochii,18.75,72.75,1107:382:4,29,27.86,35.41,1139,0,23
Trachinotus,blochii,19.75,85.25,1108:495:3,146,28.12,28.69,1478,0,4
Trachinotus,blochii,20.25,58.25,1205:208:1,38,26.18,35.97,2642,0,23
Trachinotus,blochii,20.25,39.25,1203:209:1,504,28.81,38.66,712,0,92
Trachinotus,blochii,20.25,121.75,1212:101:2,1460,27.35,34.25,237,0,25
Trachinotus,blochii,20.75,37.25,1203:207:3,82,28.36,39.18,945,0,16
Trachinotus,blochii,21.75,92.25,1209:112:3,1,27.69,29.79,1676,0,1
Trachinotus,blochii,21.75,90.25,1209:110:3,25,27.64,27.5,1465,0,23
Trachinotus,blochii,22.25,114.25,1211:124:1,10,24.72,33.79,1385,0,22
Trachinotus,blochii,22.25,120.75,1212:120:2,249,26.32,34.4,532,0,15
Trachinotus,blochii,22.25,120.25,1212:120:1,721,26.32,34.09,785,0,97
Trachinotus,blochii,22.75,69.75,1206:229:4,9,26.94,36.11,1500,0,18
Trachinotus,blochii,22.75,38.75,1203:228:4,227,27.75,39.04,606,0,25
Trachinotus,blochii,22.75,120.25,1212:120:3,179,26.32,34.09,737,0,15
Trachinotus,blochii,23.25,121.25,1212:131:1,147,26.05,34.4,516,0,5
Trachinotus,blochii,23.25,120.25,1212:130:1,30,25.45,33.95,652,0,9
Trachinotus,blochii,24.25,53.25,1205:143:1,5,27.33,39.29,612,0,18
Trachinotus,blochii,24.25,120.25,1212:140:1,41,24.17,33.75,939,0,24
Trachinotus,blochii,24.25,118.25,1211:248:1,20,22.83,33.9,1398,0,24
Trachinotus,blochii,24.75,35.25,1203:245:3,188,26.39,39.49,510,0,21
Trachinotus,blochii,24.75,121.75,1212:141:4,251,25.05,34.5,719,0,8
Trachinotus,blochii,25.25,66.25,1206:456:1,68,26.59,36.41,2838,0,24
Trachinotus,blochii,25.25,51.75,1205:351:2,17,26.9,39.65,1260,0,20
Trachinotus,blochii,25.25,121.75,1212:351:2,66,23.92,34.43,871,0,15
Trachinotus,blochii,25.25,119.75,1211:459:2,22,21.42,33.72,1628,0,25
Trachinotus,blochii,25.75,55.75,1205:455:4,32,27.85,37.7,1411,0,18
Trachinotus,blochii,26.25,50.75,1205:360:2,3,26.51,39.5,778,0,22
Trachinotus,blochii,26.75,127.75,1212:467:4,197,25.41,34.61,335,0,23
Trachinotus,blochii,27.25,52.75,1205:372:2,75,26.88,39.2,1272,0,17
Trachinotus,blochii,29.25,48.25,1204:498:1,31,24.88,38.72,2105,0,19
Trachinotus,blochii,29.25,34.75,1203:394:2,416,24.3,38.63,335,0,11
Trachinotus,blochii,29.75,48.75,1204:498:4,30,24.88,38.72,2354,0,24
