Species,MaxLengthTL,Troph,K,eco_ind,country_name,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Albania,37,ALB,8,172.74,8,Adriatic Sea,2,86.37
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Albania,37,ALB,8,172.74,8,Ionian Sea,2,86.37
Sparus aurata,70,3.7,0.28,0.39229024943310664,Albania,37,ALB,8,395.48,8,Adriatic Sea,2,197.74
Sparus aurata,70,3.7,0.28,0.39229024943310664,Albania,37,ALB,8,395.48,8,Ionian Sea,2,197.74
Salmo salar,150,4.5,0.23,0.5487528344671202,Australia,81,AUS,36,38227.8367,36,Bassian,1,38227.8367
Thunnus maccoyii,271.95,3.93,0.14,0.49383786848072564,Australia,57,AUS,36,6797.0632,36,South Australian Gulfs,1,6797.0632
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Bahamas,31,BHS,44,21.66666667,44,Bahamian,1,21.66666667
Sparus aurata,70,3.7,0.28,0.39229024943310664,Bahrain,51,BHR,48,1.2044,48,Arabian (Persian) Gulf,1,1.2044
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Bosnia and Herzegovina,37,BIH,70,84.9375,70,Adriatic Sea,1,84.9375
Sparus aurata,70,3.7,0.28,0.39229024943310664,Bosnia and Herzegovina,37,BIH,70,96.74444444,70,Adriatic Sea,1,96.74444444
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Belize,31,BLZ,84,121.6714286,84,Western Caribbean,1,121.6714286
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Brunei Darussalam,71,BRN,96,0.8,96,Palawan/North Borneo,1,0.8
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Brunei Darussalam,71,BRN,96,48.23,96,Palawan/North Borneo,1,48.23
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,Brunei Darussalam,71,BRN,96,9.77,96,Palawan/North Borneo,1,9.77
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Myanmar,57,MMR,104,165.1542294,104,Andaman Sea Coral Coast,2,82.5771147
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Myanmar,57,MMR,104,165.1542294,104,Northern Bay of Bengal,2,82.5771147
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Cambodia,71,KHM,116,147.7777778,116,Gulf of Thailand,1,147.7777778
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,21,CAN,124,29922.4,124,Northern Grand Banks - Southern Labrador,3,9974.133333333333
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,21,CAN,124,29922.4,124,Gulf of St. Lawrence - Eastern Scotian Shelf,3,9974.133333333333
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,21,CAN,124,29922.4,124,Southern Grand Banks - South Newfoundland,3,9974.133333333333
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,North American Pacific Fijordland,5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,"Oregon, Washington, Vancouver Coast and Shelf",5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,Gulf of Maine/Bay of Fundy,5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,Scotian Shelf,5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,Puget Trough/Georgia Basin,5,40
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,North American Pacific Fijordland,5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,"Oregon, Washington, Vancouver Coast and Shelf",5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,Gulf of Maine/Bay of Fundy,5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,Scotian Shelf,5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,Puget Trough/Georgia Basin,5,15299.38
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Sri Lanka,57,LKA,144,11.647,144,South India and Sri Lanka,1,11.647
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Chile,87,CHL,152,158339.1,152,Channels and Fjords of Southern Chile,2,79169.55
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Chile,87,CHL,152,158339.1,152,Chiloense,2,79169.55
Salmo salar,150,4.5,0.23,0.5487528344671202,Chile,87,CHL,152,394379.1,152,Channels and Fjords of Southern Chile,2,197189.55
Salmo salar,150,4.5,0.23,0.5487528344671202,Chile,87,CHL,152,394379.1,152,Chiloense,2,197189.55
Oncorhynchus kisutch,107.95,4.18,0.1,0.3761507936507937,Chile,87,CHL,152,126122.1,152,Channels and Fjords of Southern Chile,2,63061.05
Oncorhynchus tshawytscha,150,4.4,0.07,0.42403628117913844,Chile,87,CHL,152,698.7,152,Channels and Fjords of Southern Chile,2,349.35
Oncorhynchus kisutch,107.95,4.18,0.1,0.3761507936507937,Chile,87,CHL,152,126122.1,152,Chiloense,2,63061.05
Oncorhynchus tshawytscha,150,4.4,0.07,0.42403628117913844,Chile,87,CHL,152,698.7,152,Chiloense,2,349.35
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,China,61,CHN,156,33914.8,156,East China Sea,3,11304.933333333334
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,China,61,CHN,156,33914.8,156,Yellow Sea,3,11304.933333333334
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,China,61,CHN,156,33914.8,156,Southern China,3,11304.933333333334
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,China,61,CHN,156,60190.3,156,East China Sea,3,20063.433333333334
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,China,61,CHN,156,60190.3,156,Yellow Sea,3,20063.433333333334
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,China,61,CHN,156,60190.3,156,Southern China,3,20063.433333333334
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,China,61,CHN,156,56500,156,East China Sea,2,28250
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,China,61,CHN,156,56500,156,Yellow Sea,2,28250
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,East China Sea,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,East China Sea,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,East China Sea,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,East China Sea,3,29700
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,Yellow Sea,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,Yellow Sea,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,Yellow Sea,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,Yellow Sea,3,29700
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,Southern China,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,Southern China,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,Southern China,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,Southern China,3,29700
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,East China Sea,3,525.891041
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,Southern China,3,525.891041
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,South Kuroshio,3,525.891041
Acanthopagrus schlegeli,NA,NA,NA,NA,Taiwan Province of China,61,TWN,158,0.875,158,East China Sea,3,0.2916666666666667
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Taiwan Province of China,61,TWN,158,0.666666667,158,East China Sea,3,0.22222222233333333
Pagrus auratus,130,3.59,0.1,0.3,Taiwan Province of China,61,TWN,158,60,158,East China Sea,3,20
Acanthopagrus schlegeli,NA,NA,NA,NA,Taiwan Province of China,61,TWN,158,0.875,158,Southern China,3,0.2916666666666667
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Taiwan Province of China,61,TWN,158,0.666666667,158,Southern China,3,0.22222222233333333
Pagrus auratus,130,3.59,0.1,0.3,Taiwan Province of China,61,TWN,158,60,158,Southern China,3,20
Acanthopagrus schlegeli,NA,NA,NA,NA,Taiwan Province of China,61,TWN,158,0.875,158,South Kuroshio,3,0.2916666666666667
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Taiwan Province of China,61,TWN,158,0.666666667,158,South Kuroshio,3,0.22222222233333333
Pagrus auratus,130,3.59,0.1,0.3,Taiwan Province of China,61,TWN,158,60,158,South Kuroshio,3,20
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Colombia,31,COL,170,112.1666667,170,Panama Bight,2,56.08333335
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Colombia,31,COL,170,112.1666667,170,Southwestern Caribbean,2,56.08333335
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Mayotte,51,MYT,175,4,175,Western and Northern Madagascar,1,4
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,Mayotte,51,MYT,175,84.92,175,Western and Northern Madagascar,1,84.92
Argyrosomus regius,230,4.29,0.12,0.5040816326530613,Croatia,37,HRV,191,51.61528571,191,Adriatic Sea,1,51.61528571
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Croatia,37,HRV,191,3216.7134,191,Adriatic Sea,1,3216.7134
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Croatia,37,HRV,191,2.084875,191,Adriatic Sea,1,2.084875
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,Croatia,37,HRV,191,2.729666667,191,Adriatic Sea,1,2.729666667
Sparus aurata,70,3.7,0.28,0.39229024943310664,Croatia,37,HRV,191,2625.0319,191,Adriatic Sea,1,2625.0319
Thunnus thynnus,458,4.45,0.08,0.6832199546485261,Croatia,37,HRV,191,1575.5,191,Adriatic Sea,1,1575.5
Argyrosomus regius,230,4.29,0.12,0.5040816326530613,Cyprus,37,CYP,196,26.93285714,196,Aegean Sea,1,26.93285714
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Cyprus,37,CYP,196,1247,196,Aegean Sea,1,1247
Siganus rivulatus,NA,NA,NA,NA,Cyprus,37,CYP,196,0.94,196,Aegean Sea,1,0.94
Sparus aurata,70,3.7,0.28,0.39229024943310664,Cyprus,37,CYP,196,3028,196,Aegean Sea,1,3028
Thunnus thynnus,458,4.45,0.08,0.6832199546485261,Cyprus,37,CYP,196,50,196,Aegean Sea,1,50
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Denmark,27,DNK,208,10453.928,208,North Sea,1,10453.928
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,Denmark,27,DNK,208,6.6375,208,North Sea,1,6.6375
Gadus morhua,200,4.09,0.14,0.4621315192743764,Denmark,27,DNK,208,2.5,208,North Sea,1,2.5
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Dominican Republic,31,DOM,214,100,214,Greater Antilles,1,100
Sparus aurata,70,3.7,0.28,0.39229024943310664,Dominican Republic,31,DOM,214,350,214,Greater Antilles,1,350
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Ecuador,87,ECU,218,34.73,218,Panama Bight,2,17.365
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Ecuador,87,ECU,218,34.73,218,Guayaquil,2,17.365
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Faroe Islands,27,FRO,234,5351.4,234,Faroe Plateau,1,5351.4
Salmo salar,150,4.5,0.23,0.5487528344671202,Faroe Islands,27,FRO,234,62078.5,234,Faroe Plateau,1,62078.5
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,France,27,FRA,250,1191.025,250,South European Atlantic Shelf,2,595.5125
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,France,27,FRA,250,29.8,250,South European Atlantic Shelf,2,14.9
Salmo salar,150,4.5,0.23,0.5487528344671202,France,27,FRA,250,667,250,South European Atlantic Shelf,2,333.5
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,France,27,FRA,250,477.16,250,South European Atlantic Shelf,1,477.16
Sparus aurata,70,3.7,0.28,0.39229024943310664,France,27,FRA,250,697.325,250,South European Atlantic Shelf,2,348.6625
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,France,27,FRA,250,1191.025,250,North Sea,2,595.5125
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,France,27,FRA,250,29.8,250,North Sea,2,14.9
Salmo salar,150,4.5,0.23,0.5487528344671202,France,27,FRA,250,667,250,North Sea,2,333.5
Sparus aurata,70,3.7,0.28,0.39229024943310664,France,27,FRA,250,697.325,250,North Sea,2,348.6625
Argyrosomus regius,230,4.29,0.12,0.5040816326530613,France,37,FRA,250,468.72,250,Western Mediterranean,1,468.72
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,France,37,FRA,250,1526.62,250,Western Mediterranean,1,1526.62
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,France,37,FRA,250,1526.62,250,Western Mediterranean,1,1526.62
Sparus aurata,70,3.7,0.28,0.39229024943310664,France,37,FRA,250,748.03,250,Western Mediterranean,1,748.03
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,Germany,27,DEU,276,15,276,Baltic Sea,2,7.5
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,Germany,27,DEU,276,15,276,North Sea,2,7.5
Paralichthys olivaceus,103,3.72,0.15,0.3332199546485261,Germany,27,DEU,276,0.25,276,Baltic Sea,1,0.25
Argyrosomus regius,230,4.29,0.12,0.5040816326530613,Greece,37,GRC,300,708.62,300,Aegean Sea,1,708.62
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Greece,37,GRC,300,36157.97,300,Aegean Sea,2,18078.985
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Greece,37,GRC,300,36157.97,300,Ionian Sea,2,18078.985
Sparus aurata,70,3.7,0.28,0.39229024943310664,Greece,37,GRC,300,52539.02,300,Aegean Sea,1,52539.02
Sparus aurata,70,3.7,0.28,0.39229024943310664,Greece,37,GRC,300,52539.02,300,Aegean Sea,1,52539.02
Thunnus thynnus,458,4.45,0.08,0.6832199546485261,Greece,37,GRC,300,67.5,300,Ionian Sea,1,67.5
Thunnus thynnus,458,4.45,0.08,0.6832199546485261,Greece,37,GRC,300,67.5,300,Ionian Sea,1,67.5
Mugil cephalus,122,2.48,0.23,0.20589569160997734,Greece,37,GRC,300,47.68222222,300,Ionian Sea,2,23.84111111
Pagrus pagrus,91,3.86,0.13,0.332312925170068,Greece,37,GRC,300,1035.88,300,Ionian Sea,2,517.94
Mugil cephalus,122,2.48,0.23,0.20589569160997734,Greece,37,GRC,300,47.68222222,300,Aegean Sea,2,23.84111111
Pagrus pagrus,91,3.86,0.13,0.332312925170068,Greece,37,GRC,300,1035.88,300,Aegean Sea,2,517.94
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,Guadeloupe,31,GLP,312,6.79,312,Eastern Caribbean,1,6.79
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,"China, Hong Kong SAR",61,HKG,344,62,344,Southern China,1,62
Salmo salar,150,4.5,0.23,0.5487528344671202,Iceland,27,ISL,352,100.3333333,352,South and West Iceland,1,100.3333333
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,Iceland,27,ISL,352,37.88888889,352,South and West Iceland,1,37.88888889
Gadus morhua,200,4.09,0.14,0.4621315192743764,Iceland,27,ISL,352,878.6,352,South and West Iceland,1,878.6
Hippoglossus hippoglossus,470,4,0.03,0.5873015873015873,Iceland,27,ISL,352,26.35555556,352,South and West Iceland,1,26.35555556
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Indonesia,71,IDN,360,162.684,360,Malacca Strait,7,23.240571428571428
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Indonesia,71,IDN,360,162.684,360,Western Sumatra,7,23.240571428571428
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Indonesia,71,IDN,360,162.684,360,Sunda Shelf/Java Sea,7,23.240571428571428
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Indonesia,71,IDN,360,162.684,360,Southern Java,7,23.240571428571428
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Indonesia,71,IDN,360,162.684,360,Sulawesi Sea/Makassar Strait,7,23.240571428571428
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Indonesia,71,IDN,360,162.684,360,Lesser Sunda,7,23.240571428571428
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Indonesia,71,IDN,360,162.684,360,Banda Sea,7,23.240571428571428
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Indonesia,71,IDN,360,2040.2215,360,Malacca Strait,7,291.4602142857143
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Indonesia,71,IDN,360,2040.2215,360,Western Sumatra,7,291.4602142857143
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Indonesia,71,IDN,360,2040.2215,360,Sunda Shelf/Java Sea,7,291.4602142857143
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Indonesia,71,IDN,360,2040.2215,360,Southern Java,7,291.4602142857143
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Indonesia,71,IDN,360,2040.2215,360,Sulawesi Sea/Makassar Strait,7,291.4602142857143
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Indonesia,71,IDN,360,2040.2215,360,Lesser Sunda,7,291.4602142857143
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Indonesia,71,IDN,360,2040.2215,360,Banda Sea,7,291.4602142857143
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Ireland,27,IRL,372,472.7714286,372,Celtic Seas,1,472.7714286
Salmo salar,150,4.5,0.23,0.5487528344671202,Ireland,27,IRL,372,11958.55,372,Celtic Seas,1,11958.55
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Israel,37,ISR,376,26.75,376,Levantine Sea,1,26.75
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,Israel,37,ISR,376,60.5,376,Levantine Sea,1,60.5
Sparus aurata,70,3.7,0.28,0.39229024943310664,Israel,37,ISR,376,1808.4,376,Levantine Sea,1,1808.4
Argyrosomus regius,230,4.29,0.12,0.5040816326530613,Italy,37,ITA,380,54.375,380,Western Mediterranean,1,54.375
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Italy,37,ITA,380,3335.894,380,Western Mediterranean,3,1111.9646666666665
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Italy,37,ITA,380,3335.894,380,Ionian Sea,3,1111.9646666666665
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Italy,37,ITA,380,3335.894,380,Adriatic Sea,3,1111.9646666666665
Sparus aurata,70,3.7,0.28,0.39229024943310664,Italy,37,ITA,380,4182.886,380,Western Mediterranean,3,1394.2953333333335
Sparus aurata,70,3.7,0.28,0.39229024943310664,Italy,37,ITA,380,4182.886,380,Ionian Sea,3,1394.2953333333335
Sparus aurata,70,3.7,0.28,0.39229024943310664,Italy,37,ITA,380,4182.886,380,Adriatic Sea,3,1394.2953333333335
Thunnus thynnus,458,4.45,0.08,0.6832199546485261,Italy,37,ITA,380,361.06,380,Western Mediterranean,3,120.35333333333334
Thunnus thynnus,458,4.45,0.08,0.6832199546485261,Italy,37,ITA,380,361.06,380,Ionian Sea,3,120.35333333333334
Thunnus thynnus,458,4.45,0.08,0.6832199546485261,Italy,37,ITA,380,361.06,380,Adriatic Sea,3,120.35333333333334
Mugil cephalus,122,2.48,0.23,0.20589569160997734,Italy,37,ITA,380,6,380,Ionian Sea,1,6
Oncorhynchus kisutch,107.95,4.18,0.1,0.3761507936507937,Japan,61,JPN,392,11891.8,392,Central Kuroshio Current,4,2972.95
Pagrus auratus,130,3.59,0.1,0.3,Japan,61,JPN,392,64378.9,392,Chiloense,4,16094.725
Paralichthys olivaceus,103,3.72,0.15,0.3332199546485261,Japan,61,JPN,392,3394.9,392,North Sea,4,848.725
Pseudocaranx dentex,122,3.92,0.17,0.39365079365079364,Japan,61,JPN,392,3101.3,392,Central Kuroshio Current,4,775.325
Seriola quinqueradiata,150,3.96,0.33,0.5310657596371883,Japan,61,JPN,392,148134.6,392,Central Kuroshio Current,4,37033.65
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,Japan,61,JPN,392,4273.1,392,Central Kuroshio Current,4,1068.275
Thunnus orientalis,333,4.5,0.15,0.6395691609977324,Japan,61,JPN,392,12597.2,392,Central Kuroshio Current,4,3149.3
Trachurus japonicus,50,3.4,0.31,0.34920634920634924,Japan,61,JPN,392,1215.2,392,Central Kuroshio Current,4,303.8
Oncorhynchus kisutch,107.95,4.18,0.1,0.3761507936507937,Japan,61,JPN,392,11891.8,392,East China Sea,4,2972.95
Pagrus auratus,130,3.59,0.1,0.3,Japan,61,JPN,392,64378.9,392,East China Sea,4,16094.725
