country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg,status,Introduced,Native
Taiwan Province of China,Acanthopagrus schlegelii,61,TWN,158,0.875,158,East China Sea,3,0.291666667,Native,0,1
Taiwan Province of China,Acanthopagrus schlegelii,61,TWN,158,0.875,158,Southern China,3,0.291666667,Native,0,1
Taiwan Province of China,Acanthopagrus schlegelii,61,TWN,158,0.875,158,South Kuroshio,3,0.291666667,Native,0,1
"Korea, Republic of",Acanthopagrus schlegelii,61,KOR,410,1539.5,410,Yellow Sea,3,513.1666667,Native,0,1
"Korea, Republic of",Acanthopagrus schlegelii,61,KOR,410,1539.5,410,East China Sea,3,513.1666667,Native,0,1
"Korea, Republic of",Acanthopagrus schlegelii,61,KOR,410,1539.5,410,Sea of Japan/East Sea,3,513.1666667,Native,0,1
Croatia,Argyrosomus regius,37,HRV,191,51.61528571,191,Adriatic Sea,1,51.61528571,Native,0,1
Cyprus,Argyrosomus regius,37,CYP,196,26.93285714,196,Aegean Sea,1,26.93285714,Native,0,1
France,Argyrosomus regius,37,FRA,250,468.72,250,Western Mediterranean,1,468.72,Native,0,1
Greece,Argyrosomus regius,37,GRC,300,708.62,300,Aegean Sea,1,708.62,Native,0,1
Italy,Argyrosomus regius,37,ITA,380,54.375,380,Western Mediterranean,1,54.375,Native,0,1
Portugal,Argyrosomus regius,27,PRT,620,27.6746,620,South European Atlantic Shelf,1,27.6746,Native,0,1
Spain,Argyrosomus regius,27,ESP,724,15.683,724,South European Atlantic Shelf,1,15.683,Native,0,1
Spain,Argyrosomus regius,37,ESP,724,1061.4367,724,Alboran Sea,2,530.71835,Native,0,1
Spain,Argyrosomus regius,37,ESP,724,1061.4367,724,Western Mediterranean,2,530.71835,Native,0,1
Tunisia,Argyrosomus regius,37,TUN,788,40,788,Tunisian Plateau/Gulf of Sidra,1,40,Native,0,1
Turkey,Argyrosomus regius,37,TUR,792,2848.333333,792,Aegean Sea,2,1424.166667,Native,0,1
Turkey,Argyrosomus regius,37,TUR,792,2848.333333,792,Levantine Sea,2,1424.166667,Native,0,1
Brunei Darussalam,Chanos chanos,71,BRN,96,0.8,96,Palawan/North Borneo,1,0.8,Native,0,1
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Malacca Strait,7,23.24057143,Introduced,1,0
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Western Sumatra,7,23.24057143,Introduced,1,0
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Sunda Shelf/Java Sea,7,23.24057143,Introduced,1,0
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Southern Java,7,23.24057143,Native,0,1
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Sulawesi Sea/Makassar Strait,7,23.24057143,Introduced,1,0
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Lesser Sunda,7,23.24057143,Native,0,1
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Banda Sea,7,23.24057143,Native,0,1
Palau,Chanos chanos,71,PLW,585,18.29,585,West Caroline Islands,1,18.29,Native,0,1
Philippines,Chanos chanos,71,PHL,608,102289,608,Eastern Philippines,2,51144.5,Native,0,1
Philippines,Chanos chanos,71,PHL,608,102289,608,Sulawesi Sea/Makassar Strait,2,51144.5,Introduced,1,0
Singapore,Chanos chanos,71,SGP,702,1615.8152,702,Malacca Strait,1,1615.8152,Introduced,1,0
Tuvalu,Chanos chanos,71,TUV,798,2.333333333,798,Gilbert/Ellis Islands,1,2.333333333,Native,0,1
Albania,Dicentrarchus labrax,37,ALB,8,172.74,8,Adriatic Sea,2,86.37,Native,0,1
Albania,Dicentrarchus labrax,37,ALB,8,172.74,8,Ionian Sea,2,86.37,Native,0,1
Bosnia and Herzegovina,Dicentrarchus labrax,37,BIH,70,84.9375,70,Adriatic Sea,1,84.9375,Native,0,1
Croatia,Dicentrarchus labrax,37,HRV,191,3216.7134,191,Adriatic Sea,1,3216.7134,Native,0,1
Cyprus,Dicentrarchus labrax,37,CYP,196,1247,196,Aegean Sea,1,1247,Native,0,1
France,Dicentrarchus labrax,27,FRA,250,1191.025,250,South European Atlantic Shelf,2,595.5125,Native,0,1
France,Dicentrarchus labrax,27,FRA,250,1191.025,250,North Sea,2,595.5125,Native,0,1
France,Dicentrarchus labrax,37,FRA,250,1526.62,250,Western Mediterranean,1,1526.62,Native,0,1
Greece,Dicentrarchus labrax,37,GRC,300,36157.97,300,Aegean Sea,1,36157.97,Native,0,1
Israel,Dicentrarchus labrax,37,ISR,376,26.75,376,Levantine Sea,1,26.75,Native,0,1
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Western Mediterranean,3,1111.964667,Native,0,1
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Ionian Sea,3,1111.964667,Native,0,1
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Adriatic Sea,3,1111.964667,Native,0,1
Kuwait,Dicentrarchus labrax,27,KWT,414,0.215,414,Arabian (Persian) Gulf,1,0.215,Introduced,1,0
Libya,Dicentrarchus labrax,37,LBY,434,32,434,Tunisian Plateau/Gulf of Sidra,1,32,Native,0,1
Malta,Dicentrarchus labrax,37,MLT,470,88.9612,470,Ionian Sea,1,88.9612,Native,0,1
Mauritius,Dicentrarchus labrax,51,MUS,480,118.8333333,480,Mascarene Islands,1,118.8333333,Introduced,1,0
Montenegro,Dicentrarchus labrax,37,MNE,499,56.9,499,Adriatic Sea,1,56.9,Native,0,1
Morocco,Dicentrarchus labrax,37,MAR,504,100.77,504,Alboran Sea,1,100.77,Native,0,1
Portugal,Dicentrarchus labrax,27,PRT,620,360.0343,620,South European Atlantic Shelf,1,360.0343,Native,0,1
Saudi Arabia,Dicentrarchus labrax,51,SAU,682,300,682,Northern and Central Red Sea,2,150,Introduced,1,0
Saudi Arabia,Dicentrarchus labrax,51,SAU,682,300,682,Southern Red Sea,2,150,Introduced,1,0
Slovenia,Dicentrarchus labrax,37,SVN,705,53.54,705,Adriatic Sea,1,53.54,Native,0,1
Spain,Dicentrarchus labrax,27,ESP,724,619.9325625,724,South European Atlantic Shelf,1,619.9325625,Native,0,1
Spain,Dicentrarchus labrax,34,ESP,724,4172.342667,724,Azores Canaries Madeira,1,4172.342667,Native,0,1
Spain,Dicentrarchus labrax,37,ESP,724,9548.92465,724,Alboran Sea,2,4774.462325,Native,0,1
Spain,Dicentrarchus labrax,37,ESP,724,9548.92465,724,Western Mediterranean,2,4774.462325,Native,0,1
United Arab Emirates,Dicentrarchus labrax,51,ARE,784,166.6666667,784,Arabian (Persian) Gulf,2,83.33333335,Introduced,1,0
United Arab Emirates,Dicentrarchus labrax,51,ARE,784,166.6666667,784,Gulf of Oman,2,83.33333335,Introduced,1,0
Turkey,Dicentrarchus labrax,37,TUR,792,59962.15,792,Aegean Sea,3,57803.5126,Native,0,1
Turkey,Dicentrarchus labrax,37,TUR,792,59962.15,792,Levantine Sea,3,599.6215,Native,0,1
Turkey,Dicentrarchus labrax,37,TUR,792,59962.15,792,Black Sea,3,1559.0159,Native,0,1
United Kingdom,Dicentrarchus labrax,27,GBR,826,222.2222222,826,Celtic Seas,1,222.2222222,Native,0,1
Denmark,Gadus morhua,27,DNK,208,2.5,208,North Sea,1,2.5,Native,0,1
Iceland,Gadus morhua,27,ISL,352,878.6,352,South and West Iceland,1,878.6,Native,0,1
Norway,Gadus morhua,27,NOR,578,10223.552,578,Northern Norway and Finnmark,2,4697.350152,Native,0,1
Norway,Gadus morhua,27,NOR,578,10223.552,578,Southern Norway,2,5516.5303,Native,0,1
United Kingdom,Gadus morhua,27,GBR,826,977.9,826,Celtic Seas,1,977.9,Native,0,1
Iceland,Hippoglossus hippoglossus,27,ISL,352,26.35555556,352,South and West Iceland,1,26.35555556,Introduced,1,0
Norway,Hippoglossus hippoglossus,27,NOR,578,1692.761,578,Northern Norway and Finnmark,2,913.3975497,Native,0,1
Norway,Hippoglossus hippoglossus,27,NOR,578,1692.761,578,Southern Norway,2,1391.544257,Native,0,1
United Kingdom,Hippoglossus hippoglossus,27,GBR,826,108.21,826,Celtic Seas,1,108.21,Native,0,1
China,Larimichthys crocea,61,CHN,156,100224,156,East China Sea,3,73604.75411,Native,0,1
China,Larimichthys crocea,61,CHN,156,100224,156,Yellow Sea,3,204.272752,Native,0,1
China,Larimichthys crocea,61,CHN,156,100224,156,Southern China,3,11031.97635,Native,0,1
China,Larimichthys crocea,61,CHN,156,100224,156,Gulf of Tonkin,3,15382.99679,Native,0,1
China,Lateolabrax japonicus,61,CHN,156,115693.8,156,East China Sea,3,37002.07098,Native,0,1
China,Lateolabrax japonicus,61,CHN,156,115693.8,156,Yellow Sea,3,24550.89855,Native,0,1
China,Lateolabrax japonicus,61,CHN,156,115693.8,156,Southern China,3,43672.39761,Native,0,1
China,Lateolabrax japonicus,61,CHN,156,115693.8,156,Gulf of Tonkin,3,10468.43285,Native,0,1
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,Yellow Sea,3,599.4,Native,0,1
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,East China Sea,3,599.4,Native,0,1
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,Sea of Japan/East Sea,3,599.4,Native,0,1
Brunei Darussalam,Lates calcarifer,71,BRN,96,48.23,96,Palawan/North Borneo,1,48.23,Native,0,1
Myanmar,Lates calcarifer,57,MMR,104,165.1542294,104,Andaman Sea Coral Coast,2,82.5771147,Native,0,1
Myanmar,Lates calcarifer,57,MMR,104,165.1542294,104,Northern Bay of Bengal,2,82.5771147,Native,0,1
Cambodia,Lates calcarifer,71,KHM,116,147.7777778,116,Gulf of Thailand,1,147.7777778,Native,0,1
Sri Lanka,Lates calcarifer,57,LKA,144,11.647,144,South India and Sri Lanka,1,11.647,Native,0,1
Taiwan Province of China,Lates calcarifer,61,TWN,158,0.666666667,158,East China Sea,3,0.222222222,Native,0,1
Taiwan Province of China,Lates calcarifer,61,TWN,158,0.666666667,158,Southern China,3,0.222222222,Native,0,1
Taiwan Province of China,Lates calcarifer,61,TWN,158,0.666666667,158,South Kuroshio,3,0.222222222,Native,0,1
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Malacca Strait,7,291.4602143,Native,0,1
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Western Sumatra,7,291.4602143,Introduced,1,0
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Sunda Shelf/Java Sea,7,291.4602143,Native,0,1
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Southern Java,7,291.4602143,Native,0,1
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Sulawesi Sea/Makassar Strait,7,291.4602143,Introduced,1,0
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Lesser Sunda,7,291.4602143,Native,0,1
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Banda Sea,7,291.4602143,Introduced,1,0
Kuwait,Lates calcarifer,51,KWT,414,0.25,414,Arabian (Persian) Gulf,1,0.25,Introduced,1,0
Saudi Arabia,Lates calcarifer,51,SAU,682,1207,682,Southern Red Sea,2,603.5,Introduced,1,0
Saudi Arabia,Lates calcarifer,51,SAU,682,1207,682,Northern and Central Red Sea,2,603.5,Introduced,1,0
Singapore,Lates calcarifer,71,SGP,702,440.8723,702,Malacca Strait,1,440.8723,Native,0,1
Greece,Mugil cephalus,37,GRC,300,47.68222222,300,Ionian Sea,2,47.68222222,Native,0,1
Italy,Mugil cephalus,37,ITA,380,6,380,Ionian Sea,1,6,Native,0,1
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,Yellow Sea,3,1852.266667,Native,0,1
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,East China Sea,3,1852.266667,Native,0,1
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,Sea of Japan/East Sea,3,1852.266667,Introduced,1,0
Saudi Arabia,Mugil cephalus,51,SAU,682,38.2,682,Southern Red Sea,2,19.1,Native,0,1
Saudi Arabia,Mugil cephalus,51,SAU,682,38.2,682,Northern and Central Red Sea,2,19.1,Native,0,1
Singapore,Mugil cephalus,71,SGP,702,416.594,702,Malacca Strait,1,416.594,Introduced,1,0
Chile,Oncorhynchus kisutch,87,CHL,152,126122.1,152,Chiloense,2,63061.05,Introduced,1,0
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Northeastern Honshu,4,11853.91273,Native,0,1
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Sea of Japan/East Sea,4,37.88159628,Introduced,1,0
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,North American Pacific Fijordland,5,40,Native,0,1
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,"Oregon, Washington, Vancouver Coast and Shelf",5,40,Native,0,1
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,Gulf of Maine/Bay of Fundy,5,40,Introduced,1,0
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,Scotian Shelf,5,40,Introduced,1,0
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,Puget Trough/Georgia Basin,5,40,Native,0,1
Chile,Oncorhynchus mykiss,87,CHL,152,158339.1,152,Channels and Fjords of Southern Chile,2,44334.948,Introduced,1,0
Chile,Oncorhynchus mykiss,87,CHL,152,158339.1,152,Chiloense,2,114004.152,Introduced,1,0
Croatia,Oncorhynchus mykiss,37,HRV,191,2.084875,191,Adriatic Sea,1,2.084875,Introduced,1,0
Denmark,Oncorhynchus mykiss,27,DNK,208,10453.928,208,North Sea,1,10453.928,Introduced,1,0
Faroe Islands,Oncorhynchus mykiss,27,FRO,234,5351.4,234,Faroe Plateau,1,5351.4,Introduced,1,0
France,Oncorhynchus mykiss,27,FRA,250,29.8,250,South European Atlantic Shelf,2,14.9,Introduced,1,0
France,Oncorhynchus mykiss,27,FRA,250,29.8,250,North Sea,2,14.9,Introduced,1,0
Ireland,Oncorhynchus mykiss,27,IRL,372,472.7714286,372,Celtic Seas,1,472.7714286,Introduced,1,0
Norway,Oncorhynchus mykiss,27,NOR,578,72523.549,578,Northern Norway and Finnmark,2,13970.8633,Introduced,1,0
Norway,Oncorhynchus mykiss,27,NOR,578,72523.549,578,Southern Norway,2,58552.6857,Introduced,1,0
Spain,Oncorhynchus mykiss,27,ESP,724,5.225,724,South European Atlantic Shelf,1,5.225,Introduced,1,0
Sweden,Oncorhynchus mykiss,27,SWE,752,2411.2,752,Baltic Sea,1,2411.2,Introduced,1,0
Turkey,Oncorhynchus mykiss,37,TUR,792,4952.82,792,Aegean Sea,3,79.40392786,Introduced,1,0
Turkey,Oncorhynchus mykiss,37,TUR,792,4952.82,792,Black Sea,3,4873.416072,Introduced,1,0
United Kingdom,Oncorhynchus mykiss,27,GBR,826,2474.9,826,Celtic Seas,1,2474.9,Introduced,1,0
Chile,Oncorhynchus tshawytscha,87,CHL,152,698.7,152,Chiloense,2,349.35,Introduced,1,0
New Zealand,Oncorhynchus tshawytscha,81,NZL,554,11113.7,554,Central New Zealand,1,11113.7,Introduced,1,0
Taiwan Province of China,Pagrus auratus,61,TWN,158,60,158,East China Sea,3,20,Native,0,1
Taiwan Province of China,Pagrus auratus,61,TWN,158,60,158,Southern China,3,20,Native,0,1
Taiwan Province of China,Pagrus auratus,61,TWN,158,60,158,South Kuroshio,3,20,Native,0,1
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Central Kuroshio Current,4,57727.23737,Native,0,1
Japan,Pagrus auratus,61,JPN,392,64378.9,392,East China Sea,4,5923.763429,Native,0,1
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Sea of Japan/East Sea,4,645.2723677,Introduced,1,0
Japan,Pagrus auratus,61,JPN,392,64378.9,392,South Kuroshio,4,82.62683371,Native,0,1
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,Yellow Sea,3,1828.066667,Native,0,1
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,East China Sea,3,1828.066667,Native,0,1
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,Sea of Japan/East Sea,3,1828.066667,Introduced,1,0
Greece,Pagrus pagrus,37,GRC,300,1035.88,300,Ionian Sea,2,517.94,Introduced,1,0
Greece,Pagrus pagrus,37,GRC,300,1035.88,300,Aegean Sea,2,517.94,Native,0,1
Turkey,Pagrus pagrus,37,TUR,792,158,792,Ionian Sea,1,158,Introduced,1,0
Germany,Paralichthys olivaceus,27,DEU,276,0.25,276,Baltic Sea,1,0.25,Introduced,1,0
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,Central Kuroshio Current,4,321.3368329,Native,0,1
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,East China Sea,4,3023.20682,Native,0,1
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,Northeastern Honshu,4,1.89591544,Native,0,1
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,Sea of Japan/East Sea,4,48.46043202,Native,0,1
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,Yellow Sea,3,14327.8,Native,0,1
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,East China Sea,3,14327.8,Native,0,1
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,Sea of Japan/East Sea,3,14327.8,Native,0,1
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Central Kuroshio Current,4,12405.2,Native,0,1
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,East China Sea,4,12405.2,Native,0,1
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Northeastern Honshu,4,12405.2,Native,0,1
