ECOREGION,status,Introduced,Native,n_fish,n_introduced,n_native,mean_prod_native,mean_prod_introduced,mean_prod_total,log_mean_prod_total,sqrt_mean_prod_total,sqrt_prod,log_prod,sqrt_prod_native,log_prod_native,sqrt_prod_introduced,log_prod_introduced,genetic_score
Adriatic Sea,Native,0,1,6,2,4,10721.70586345,4.814541667,10726.520405117,4.030458863258047,103.56891621098002,9.293546147730693,1.941362335711761,103.54567042348995,4.03030439293882,2.1942063866008596,0.7645154870201483,16.12121757175528
Aegean Sea,Native,0,1,7,1,6,162762.27896194998,1650.94,164413.21896194998,5.215936732251706,405.47899940927886,5.18968757633829,1.4461153602149177,403.4380732676949,5.211556430387055,40.631760975867145,3.2179942692905814,31.269338582322327
Alboran Sea,Native,0,1,4,0,4,13108.81465,0,13108.81465,4.1175634228694795,114.49373192450318,8.366600265340756,1.8512583487190752,114.49373192450318,4.11759655156413,0,0,16.47038620625652
Andaman Sea Coral Coast,Native,0,1,1,0,1,82.5771147,0,82.5771147,1.9168597042621038,9.087195095297558,9.087195095297558,1.9220873740880808,9.087195095297558,1.9220873740880808,0,0,1.9220873740880808
Arabian (Persian) Gulf,Introduced,1,0,3,3,0,0,257.50273334999997,257.50273334999997,2.4107818433675856,16.046891703691404,1.0974515934655158,0.3432904023534331,0,0,16.046891703691404,2.412465139586813,0
Azores Canaries Madeira,Native,0,1,2,0,2,9394.840001,0,9394.840001,3.972889388239152,96.92698283243939,64.59367358340909,3.620484045453965,96.92698283243939,3.972935612695347,0,0,7.945871225390694
Bahamian,Native,0,1,1,0,1,21.66666667,0,21.66666667,1.3357921019900076,4.654746681614371,4.654746681614371,1.3553876580504407,4.654746681614371,1.3553876580504407,0,0,1.3553876580504407
Baltic Sea,Introduced,1,0,4,3,1,1.666666667,2418.95,2420.6166666669997,3.383926019209366,49.199762872060674,2.7386127875258306,0.9294189257142927,1.2909944488649052,0.425968732326568,49.182822204505506,3.383806392861248,0.425968732326568
Banda Sea,Native,0,1,2,1,1,23.24057143,291.4602143,314.70078573,2.4978978272404437,17.739807939490213,4.820847584190979,1.3845428533643267,4.820847584190979,1.3845428533643267,17.07220590023445,2.4660667938876153,1.3845428533643267
Bassian,Introduced,1,0,1,1,0,0,38227.8367,38227.8367,4.582379722140518,195.51940236201622,195.51940236201622,4.582391082678784,0,0,195.51940236201622,4.582391082678784,0
Black Sea,Introduced,1,0,6,4,2,20169.0499967,16301.093885556,36470.143882256,4.561937476698661,190.9715787290245,2.48506650937153,0.8558555312687176,142.01778056532217,4.304706974725607,127.6757372626295,4.212243389958539,8.609413949451215
Celtic Seas,Introduced,1,0,6,2,4,168981.5602222,2970.5364286,171952.09665080003,5.235407475641147,414.6710704290812,21.743307673856798,2.6755688664848782,411.0736676341602,5.227841885737422,54.502627721973184,3.4729810587210963,20.911367542949687
Central Kuroshio Current,Introduced,1,0,8,1,7,59273.8,2972.95,62246.75,4.794116681166766,249.49298587335076,54.524765015541334,3.4733336626033413,243.4621120420999,4.772870097293112,54.524765015541334,3.4733336626033413,33.410090681051784
Central New Zealand,Introduced,1,0,1,1,0,0,11113.7,11113.7,4.045858669388083,105.42153480195591,105.42153480195591,4.045897745028452,0,0,105.42153480195591,4.045897745028452,0
Channels and Fjords of Southern Chile,Introduced,1,0,2,2,0,0,103491.813,103491.813,5.014905995111235,321.7014345631676,210.55865691061007,4.646755999070457,0,0,321.7014345631676,5.014910191504854,0
Chiloense,Introduced,1,0,4,4,0,0,512636.787,512636.787,5.709809768094531,715.9865829748488,337.64500884805034,5.056924477955885,0,0,715.9865829748488,5.709810615271459,0
East China Sea,Native,0,1,18,4,14,197669.982705366,59555.649997,257225.632702366,5.410314244137537,507.1741640722307,106.32466002767185,4.053306420138917,444.6009252187472,5.295942921332595,244.04026306533927,4.774930261129593,74.14320089865633
Eastern Caribbean,Introduced,1,0,2,1,1,10.125,51.6,61.725,1.79046109860397,7.856525949807587,2.6057628441590768,0.8915374576725644,3.181980515339464,1.0463000196529693,7.183313998427188,1.720985744153739,1.0463000196529693
Eastern Philippines,Native,0,1,2,0,2,51245.8333334,0,51245.8333334,4.709658559798511,226.37542563935688,226.15149789466352,4.708807428641708,226.37542563935688,4.709667034443498,0,0,9.419334068886997
Faroe Plateau,Introduced,1,0,2,1,1,62078.5,5351.4,67429.9,4.828852515609008,259.67267857824396,73.15326376861117,3.728548562028337,249.1555738890864,4.792948210374561,73.15326376861117,3.728548562028337,4.792948210374561
Gilbert/Ellis Islands,Native,0,1,1,0,1,2.333333333,0,2.333333333,0.36797678523255234,1.5275252315428378,1.5275252315428378,0.5228787452369081,1.5275252315428378,0.5228787452369081,0,0,0.5228787452369081
Greater Antilles,Native,0,1,2,1,1,111,350,461,2.663700925389648,21.470910553583888,10,2.0043213737826426,10.535653752852738,2.0492180226701815,18.708286933869708,2.545307116465824,2.0492180226701815
Guayaquil,Introduced,1,0,1,1,0,0,17.365,17.365,1.239674787646781,4.167133307202926,4.167133307202926,1.2639909326813126,0,0,4.167133307202926,1.2639909326813126,0
Gulf of Maine/Bay of Fundy,Introduced,1,0,2,1,1,21022.813333,40,21062.813333,4.323516378881561,145.1303322293448,6.324555320336759,1.6127838567197355,144.9924595729033,4.322711491867132,6.324555320336759,1.6127838567197355,4.322711491867132
Gulf of Oman,Introduced,1,0,2,2,0,0,254.18333335,254.18333335,2.405147070720645,15.94312809175163,4.123105625617661,1.255272505103306,0,0,15.94312809175163,2.4068523061365266,0
Gulf of St. Lawrence - Eastern Scotian Shelf,Native,0,1,1,0,1,9974.133333,0,9974.133333,3.9988751695169054,99.87058292109845,99.87058292109845,3.9989187094113325,99.87058292109845,3.9989187094113325,0,0,3.9989187094113325
Gulf of Thailand,Native,0,1,1,0,1,147.7777778,0,147.7777778,2.1696091315930683,12.156388353454327,12.156388353454327,2.1725380676375527,12.156388353454327,2.1725380676375527,0,0,2.1725380676375527
Gulf of Tonkin,Native,0,1,1,0,1,1477.333334,0,1477.333334,3.169478497196692,38.4360941564046,38.4360941564046,3.1697723696439315,38.4360941564046,3.1697723696439315,0,0,3.1697723696439315
Ionian Sea,Native,0,1,5,1,4,24865.09194441,675.94,25541.031944410002,4.407238440253513,159.81561858720193,9.293546147730693,1.941362335711761,157.6866891795563,4.395607535155588,25.998846128241922,2.830550177069665,17.582430140622353
Lesser Sunda,Native,0,1,2,0,2,314.70078573,0,314.70078573,2.4978978272404437,17.739807939490213,4.820847584190979,1.3845428533643267,17.739807939490213,2.499275662784769,0,0,4.998551325569538
Levantine Sea,Native,0,1,6,2,4,35838.0699937,1711.44,37549.5099937,4.574604274005415,193.77695939842795,5.172040216394301,1.443262987458695,189.30945563732416,4.554356731407369,41.36955402225168,3.2336153637408662,18.217426925629475
Malacca Strait,Introduced,1,0,5,2,3,842.668128586,2055.64977143,2898.317900016,3.462146019040897,53.83602789968814,4.820847584190979,1.3845428533643267,29.02874658999248,2.9261716429904876,45.33927405054033,3.3131603416288824,8.778514928971463
Mascarene Islands,Introduced,1,0,2,2,0,0,582.3833333,582.3833333,2.765208937803241,24.13261969409869,10.90107028231632,2.078577639878434,0,0,24.13261969409869,2.765954017587847,0
North American Pacific Fijordland,Native,0,1,2,1,1,40,15299.38,15339.38,4.185807806286994,123.8522506860493,6.324555320336759,1.6127838567197355,6.324555320336759,1.6127838567197355,123.69066254168096,4.184702217082549,1.6127838567197355
North Sea,Introduced,1,0,6,2,4,1280.1750000000002,10482.9655,11763.1405,4.070523284302901,108.45801261317672,102.2444521722328,4.019321046306214,35.7795332557595,3.107608455539725,102.38635407123354,4.020525583126883,12.4304338221589
Northeastern Honshu,Native,0,1,8,0,8,62246.75,0,62246.75,4.794116681166766,249.49298587335076,54.524765015541334,3.4733336626033413,249.49298587335076,4.794123658093167,0,0,38.35298926474534
Northern and Central Red Sea,Introduced,1,0,4,3,1,19.1,1497.4,1516.5,3.1808424146466825,38.942264957241505,12.24744871391589,2.1789769472931693,4.370354676682432,1.3031960574204888,38.6962530485834,3.175627764367181,1.3031960574204888
Northern Bay of Bengal,Native,0,1,1,0,1,82.5771147,0,82.5771147,1.9168597042621038,9.087195095297558,9.087195095297558,1.9220873740880808,9.087195095297558,1.9220873740880808,0,0,1.9220873740880808
Northern California,Introduced,1,0,1,1,0,0,5723.433333,5723.433333,3.7576566284885504,75.65337621679551,75.65337621679551,3.757732501923432,0,0,75.65337621679551,3.757732501923432,0
Northern Grand Banks - Southern Labrador,Native,0,1,1,0,1,9974.133333,0,9974.133333,3.9988751695169054,99.87058292109845,99.87058292109845,3.9989187094113325,99.87058292109845,3.9989187094113325,0,0,3.9989187094113325
Northern Gulf of Mexico,Native,0,1,1,0,1,1424.1,0,1424.1,3.1535404864380223,37.73724950231535,37.73724950231535,3.153845340080965,37.73724950231535,3.153845340080965,0,0,3.153845340080965
Northern Norway and Finnmark,Introduced,1,0,4,1,3,533206.5315,36261.7745,569468.306,5.755469558244202,754.6312384204618,190.42524648795916,4.559461029322174,730.2099228988881,5.726896275148779,190.42524648795916,4.559461029322174,17.18068882544634
"Oregon, Washington, Vancouver Coast and Shelf",Native,0,1,2,1,1,40,21022.813333,21062.813333,4.323516378881561,145.1303322293448,6.324555320336759,1.6127838567197355,6.324555320336759,1.6127838567197355,144.9924595729033,4.322711491867132,1.6127838567197355
Palawan/North Borneo,Native,0,1,3,0,3,58.8,0,58.8,1.7693773260761385,7.6681158050723255,0.8944271909999159,0.25527250510330607,7.6681158050723255,1.7767011839884108,0,0,5.330103551965232
Panama Bight,Native,0,1,1,0,1,73.44833335,0,73.44833335,1.8659819454617357,8.570200309794398,7.488880647333084,1.756509325571602,8.570200309794398,1.8718549797913497,0,0,1.8718549797913497
Puget Trough/Georgia Basin,Native,0,1,2,1,1,40,15299.38,15339.38,4.185807806286994,123.8522506860493,6.324555320336759,1.6127838567197355,6.324555320336759,1.6127838567197355,123.69066254168096,4.184702217082549,1.6127838567197355
Scotian Shelf,Introduced,1,0,2,1,1,15299.38,40,15339.38,4.185807806286994,123.8522506860493,6.324555320336759,1.6127838567197355,123.69066254168096,4.184702217082549,6.324555320336759,1.6127838567197355,4.184702217082549
Sea of Japan/East Sea,Introduced,1,0,13,6,7,57911.294444477004,34040.76388989,91952.058334367,4.96356145530604,303.2359779682599,54.524765015541334,3.4733336626033413,240.64765622061853,4.7627707717169265,184.5013926502724,4.532012055166928,33.33939540201848
Sea of Okhotsk,Introduced,1,0,1,1,0,0,2234.275,2234.275,3.349136626090375,47.26811821936642,47.26811821936642,3.349330960861952,0,0,47.26811821936642,3.349330960861952,0
South and West Iceland,Native,0,1,4,2,2,978.9333333000001,64.24444445,1043.1777777500001,3.0183583269467555,32.298262766749545,10.016652799213917,2.0057523287462313,31.287910337700726,2.9911965308304773,8.015263217761474,1.8145435375056693,5.982393061660955
South Australian Gulfs,Native,0,1,1,0,1,6797.0632,0,6797.0632,3.83232130806904,82.44430362371921,82.44430362371921,3.832385197799802,82.44430362371921,3.832385197799802,0,0,3.832385197799802
South European Atlantic Shelf,Native,0,1,7,2,5,4476.4832955,10077.0779,14553.5611955,4.1629692763676305,120.6381415452841,24.40312479991036,2.7756195488012376,66.90652655384227,3.651033974267422,100.38464972295316,4.003377710976427,18.25516987133711
South India and Sri Lanka,Native,0,1,1,0,1,11.647,0,11.647,1.066214075471244,3.412770135828078,3.412770135828078,1.1019875185582992,3.412770135828078,1.1019875185582992,0,0,1.1019875185582992
South Kuroshio,Native,0,1,4,0,4,546.404929889,0,546.404929889,2.7375146090737883,23.375305984927767,22.93231434024922,2.7217208141026,23.375305984927767,2.738308704316246,0,0,10.953234817264985
Southern California Bight,Native,0,1,1,0,1,4511.347181,0,4511.347181,3.6543062505050727,67.16656296848902,67.16656296848902,3.654402506975263,67.16656296848902,3.654402506975263,0,0,3.654402506975263
Southern Caribbean,Native,0,1,1,0,1,0.116666667,0,0.116666667,-0.9330532091285454,0.34156502601993666,0.34156502601993666,0.04792355244682297,0.34156502601993666,0.04792355244682297,0,0,0.04792355244682297
Southern China,Native,0,1,9,1,8,119277.527149111,20063.43333,139340.960479111,5.144078799806562,373.2840211944666,106.32466002767185,4.053306420138917,345.3657874618026,5.07656226781111,141.64544937978064,4.3024268986759235,40.61249814248888
Southern Grand Banks - South Newfoundland,Native,0,1,1,0,1,9974.133333,0,9974.133333,3.9988751695169054,99.87058292109845,99.87058292109845,3.9989187094113325,99.87058292109845,3.9989187094113325,0,0,3.9989187094113325
Southern Gulf of Mexico,Native,0,1,1,0,1,147.262375,0,147.262375,2.168091800358237,12.135170991790762,12.135170991790762,2.1710309527608556,12.135170991790762,2.1710309527608556,0,0,2.1710309527608556
Southern Java,Native,0,1,2,0,2,314.70078573,0,314.70078573,2.4978978272404437,17.739807939490213,4.820847584190979,1.3845428533643267,17.739807939490213,2.499275662784769,0,0,4.998551325569538
Southern Norway,Introduced,1,0,4,1,3,533206.5315,36261.7745,569468.306,5.755469558244202,754.6312384204618,190.42524648795916,4.559461029322174,730.2099228988881,5.726896275148779,190.42524648795916,4.559461029322174,17.18068882544634
Southern Red Sea,Introduced,1,0,4,3,1,19.1,1497.4,1516.5,3.1808424146466825,38.942264957241505,12.24744871391589,2.1789769472931693,4.370354676682432,1.3031960574204888,38.6962530485834,3.175627764367181,1.3031960574204888
Southern Vietnam,Native,0,1,1,0,1,1477.333334,0,1477.333334,3.169478497196692,38.4360941564046,38.4360941564046,3.1697723696439315,38.4360941564046,3.1697723696439315,0,0,3.1697723696439315
Southwestern Caribbean,Native,0,1,1,0,1,618.98333335,0,618.98333335,2.791678955431146,24.87937566238349,7.488880647333084,1.756509325571602,24.87937566238349,2.7923800147701625,0,0,2.7923800147701625
Sulawesi Sea/Makassar Strait,Introduced,1,0,3,3,0,0,51560.53411913,51560.53411913,4.712317407591167,227.06944778884278,4.820847584190979,1.3845428533643267,0,0,227.06944778884278,4.712325830511485,0
Sunda Shelf/Java Sea,Introduced,1,0,2,1,1,291.4602143,23.24057143,314.70078573,2.4978978272404437,17.739807939490213,4.820847584190979,1.3845428533643267,17.07220590023445,2.4660667938876153,4.820847584190979,1.3845428533643267,2.4660667938876153
Tunisian Plateau/Gulf of Sidra,Native,0,1,4,0,4,397.6,0,397.6,2.5994463757252757,19.939909728983228,5.656854249492381,1.5185139398778875,19.939909728983228,2.600537294364469,0,0,10.402149177457876
West Caroline Islands,Native,0,1,1,0,1,18.29,0,18.29,1.2622137054764169,4.27668095606862,4.27668095606862,1.2853322276438846,4.27668095606862,1.2853322276438846,0,0,1.2853322276438846
Western and Northern Madagascar,Native,0,1,2,1,1,4,84.92,88.92,1.948999454026953,9.429740187301027,2,0.6989700043360189,2,0.6989700043360189,9.215204826806618,1.9340942683554805,0.6989700043360189
Western Arabian Sea,Introduced,1,0,1,1,0,0,17,17,1.2304489213782739,4.123105625617661,4.123105625617661,1.255272505103306,0,0,4.123105625617661,1.255272505103306,0
Western Caribbean,Native,0,1,1,0,1,121.6714286,0,121.6714286,2.085188607333246,11.030477260753498,11.030477260753498,2.088743422985616,11.030477260753498,2.088743422985616,0,0,2.088743422985616
Western Mediterranean,Native,0,1,5,1,4,19871.5379833,3,19874.5379833,4.298297041548102,140.97708318482123,21.64994226320246,2.6718390522094766,140.96644275606872,4.2982533357436665,1.7320508075688772,0.6020599913279624,17.193013342974666
Western Sumatra,Introduced,1,0,2,2,0,0,314.70078573,314.70078573,2.4978978272404437,17.739807939490213,4.820847584190979,1.3845428533643267,0,0,17.739807939490213,2.499275662784769,0
White Sea,Native,0,1,1,0,1,2234.275,0,2234.275,3.349136626090375,47.26811821936642,47.26811821936642,3.349330960861952,47.26811821936642,3.349330960861952,0,0,3.349330960861952
Yellow Sea,Introduced,1,0,14,11,3,78256.366667,116176.111105477,194432.477772477,5.288768810689388,440.9449827047327,106.32466002767185,4.053306420138917,279.7433943223682,4.893525229953209,340.8461692691837,5.065120572979003,14.680575689859626
